MeterKey,DateKey,TimeKey,MeterReading,Source,ApparentTemperature,IsSuspicious,AirTemperature,DewPointTemperature,RelativeHumidity
123,20200102,141500,50.25000,LaTrobe_CSV-orig_20200102143159.csv,NULL,NULL,NULL,NULL,NULL
123,20200103,191500,59.25000,LaTrobe_CSV-orig_20200103191908.csv,NULL,NULL,NULL,NULL,NULL
123,20200311,11500,9.00000,LaTrobe_CSV-orig_20200311071855.csv,NULL,NULL,NULL,NULL,NULL
123,20200311,30000,8.50000,LaTrobe_CSV-orig_20200311071855.csv,13.70000,NULL,13.7,13.5,99
123,20200106,73000,NULL,LaTrobe_CSV-orig_20200107092047.csv,11.70000,NULL,11.9,11.9,100
123,20200117,70000,16.25000,LaTrobe_CSV-orig_20200117070401.csv,14.10000,NULL,14.3,13.5,95
123,20200112,64500,9.00000,LaTrobe_CSV-orig_20200112064658.csv,NULL,NULL,NULL,NULL,NULL
123,20200112,224500,9.50000,LaTrobe_CSV-orig_20200112225001.csv,NULL,NULL,NULL,NULL,NULL
123,20200114,113000,59.25000,LaTrobe_CSV-orig_20200114114655.csv,27.20000,NULL,26.1,16.6,55
123,20200106,64500,NULL,LaTrobe_CSV-orig_20200107092047.csv,NULL,NULL,NULL,NULL,NULL
123,20200312,120000,40.25000,LaTrobe_CSV-orig_20200312170258.csv,24.00000,NULL,26.4,11.3,39
123,20200111,133000,11.00000,LaTrobe_CSV-orig_20200111140457.csv,14.80000,NULL,18.3,8.6,53
123,20200117,120000,34.50000,LaTrobe_CSV-orig_20200117120403.csv,20.60000,NULL,21,12.9,60
123,20200112,13000,8.50000,LaTrobe_CSV-orig_20200112014950.csv,12.20000,NULL,14.1,11.8,86
123,20200312,171500,51.25000,LaTrobe_CSV-orig_20200312231700.csv,NULL,NULL,NULL,NULL,NULL
123,20200112,41500,8.50000,LaTrobe_CSV-orig_20200112041657.csv,NULL,NULL,NULL,NULL,NULL
123,20200109,83000,18.00000,LaTrobe_CSV-orig_20200109144838.csv,19.60000,NULL,18.8,15.9,83
123,20200104,30000,8.50000,LaTrobe_CSV-orig_20200104032155.csv,17.80000,NULL,20.4,7.7,44
123,20200106,24500,NULL,LaTrobe_CSV-orig_20200107092047.csv,NULL,NULL,NULL,NULL,NULL
123,20200111,173000,11.25000,LaTrobe_CSV-orig_20200111174701.csv,13.60000,NULL,17.5,7.3,51
123,20200116,40000,10.75000,LaTrobe_CSV-orig_20200116044954.csv,16.00000,NULL,17,15.5,91
123,20200115,41500,11.00000,LaTrobe_CSV-orig_20200115043254.csv,NULL,NULL,NULL,NULL,NULL
123,20200108,71500,15.25000,LaTrobe_CSV-orig_20200109090333.csv,NULL,NULL,NULL,NULL,NULL
123,20200115,161500,73.50000,LaTrobe_CSV-orig_20200115163257.csv,NULL,NULL,NULL,NULL,NULL
123,20200113,0,9.75000,LaTrobe_CSV-orig_20200113001650.csv,13.10000,NULL,14.2,11.9,86
123,20200116,53000,20.75000,LaTrobe_CSV-orig_20200116060256.csv,15.00000,NULL,16.6,15,90
