,MeterKey,DateKey,TimeKey,MeterReading,Source,ApparentTemperature,IsSuspicious,AirTemperature,DewPointTemperature,RelativeHumidity,timestamp
2348,123,20200102,0,8.5,LaTrobe_CSV-orig_20200102000451.csv,14.8,,16.0,9.7,66.0,2020-01-02 00:00:00
2216,123,20200102,1500,8.75,LaTrobe_CSV-orig_20200102004751.csv,,,,,,2020-01-02 00:15:00
2290,123,20200102,3000,8.5,LaTrobe_CSV-orig_20200102004751.csv,15.6,,15.8,10.3,70.0,2020-01-02 00:30:00
1160,123,20200102,4500,9.25,LaTrobe_CSV-orig_20200102004751.csv,,,,,,2020-01-02 00:45:00
2436,123,20200102,10000,9.25,LaTrobe_CSV-orig_20200102010452.csv,14.0,,15.2,10.4,73.0,2020-01-02 01:00:00
777,123,20200102,11500,9.0,LaTrobe_CSV-orig_20200102013451.csv,,,,,,2020-01-02 01:15:00
5146,123,20200102,13000,9.0,LaTrobe_CSV-orig_20200102013451.csv,14.8,,15.0,10.6,75.0,2020-01-02 01:30:00
636,123,20200102,14500,8.75,LaTrobe_CSV-orig_20200102020154.csv,,,,,,2020-01-02 01:45:00
2845,123,20200102,20000,9.0,LaTrobe_CSV-orig_20200102022554.csv,14.8,,14.6,10.4,76.0,2020-01-02 02:00:00
333,123,20200102,21500,9.25,LaTrobe_CSV-orig_20200102022554.csv,,,,,,2020-01-02 02:15:00
740,123,20200102,23000,9.25,LaTrobe_CSV-orig_20200102023252.csv,14.6,,14.4,10.4,77.0,2020-01-02 02:30:00
412,123,20200102,24500,9.25,LaTrobe_CSV-orig_20200102031156.csv,,,,,,2020-01-02 02:45:00
2341,123,20200102,30000,9.25,LaTrobe_CSV-orig_20200102031156.csv,14.2,,14.0,10.4,79.0,2020-01-02 03:00:00
1045,123,20200102,31500,10.0,LaTrobe_CSV-orig_20200102032857.csv,,,,,,2020-01-02 03:15:00
663,123,20200102,33000,10.0,LaTrobe_CSV-orig_20200102034858.csv,13.4,,13.3,10.3,82.0,2020-01-02 03:30:00
5129,123,20200102,34500,9.75,LaTrobe_CSV-orig_20200102034858.csv,,,,,,2020-01-02 03:45:00
776,123,20200102,40000,9.75,LaTrobe_CSV-orig_20200102040454.csv,13.2,,13.1,10.3,83.0,2020-01-02 04:00:00
389,123,20200102,41500,10.5,LaTrobe_CSV-orig_20200102043357.csv,,,,,,2020-01-02 04:15:00
2051,123,20200102,43000,10.25,LaTrobe_CSV-orig_20200102044758.csv,12.7,,12.5,10.4,87.0,2020-01-02 04:30:00
181,123,20200102,44500,10.0,LaTrobe_CSV-orig_20200102044758.csv,,,,,,2020-01-02 04:45:00
2406,123,20200102,50000,10.0,LaTrobe_CSV-orig_20200102053356.csv,12.1,,12.0,10.2,89.0,2020-01-02 05:00:00
125,123,20200102,51500,15.75,LaTrobe_CSV-orig_20200102053356.csv,,,,,,2020-01-02 05:15:00
560,123,20200102,53000,18.0,LaTrobe_CSV-orig_20200102054959.csv,11.7,,11.6,10.3,92.0,2020-01-02 05:30:00
351,123,20200102,54500,17.75,LaTrobe_CSV-orig_20200102054959.csv,,,,,,2020-01-02 05:45:00
2356,123,20200102,60000,17.5,LaTrobe_CSV-orig_20200102060356.csv,11.3,,11.1,10.5,96.0,2020-01-02 06:00:00
5134,123,20200102,61500,18.25,LaTrobe_CSV-orig_20200102061856.csv,,,,,,2020-01-02 06:15:00
2112,123,20200102,63000,19.0,LaTrobe_CSV-orig_20200102070356.csv,10.0,,11.1,9.9,92.0,2020-01-02 06:30:00
1118,123,20200102,64500,19.0,LaTrobe_CSV-orig_20200102070356.csv,,,,,,2020-01-02 06:45:00
941,123,20200102,70000,19.75,LaTrobe_CSV-orig_20200102072057.csv,11.3,,11.7,9.6,87.0,2020-01-02 07:00:00
2607,123,20200102,71500,20.0,LaTrobe_CSV-orig_20200102073157.csv,,,,,,2020-01-02 07:15:00
54,123,20200102,73000,19.25,LaTrobe_CSV-orig_20200102074856.csv,11.7,,12.8,10.0,83.0,2020-01-02 07:30:00
431,123,20200102,74500,19.5,LaTrobe_CSV-orig_20200102080256.csv,,,,,,2020-01-02 07:45:00
